area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Romania,35592337083,37052636395,40180746113,45824529874,59507345650,75489440362,98913392472,1.23E+11,1.69E+11,2.04E+11,1.64E+11
Russian Federation,1.96E+11,2.60E+11,3.07E+11,3.45E+11,4.30E+11,5.91E+11,7.64E+11,9.90E+11,1.30E+12,1.66E+12,1.22E+12
Rwanda,1817655192,1734938190,1674685126,1677447003,1845979351,2089188921,2581286407,3111191406,3738146669,4711735377,5252677065
South Asia,6.00E+11,6.23E+11,6.39E+11,6.72E+11,7.85E+11,9.11E+11,1.04E+12,1.19E+12,1.51E+12,1.54E+12,1.69E+12
Saudi Arabia,1.61E+11,1.88E+11,1.83E+11,1.89E+11,2.15E+11,2.59E+11,3.28E+11,3.77E+11,4.16E+11,5.20E+11,4.29E+11
Sudan,10682027627,12257299163,13182872555,14803423335,17646271397,21457886199,26524992225,35159250985,45456460335,54082389393,52839990731
Senegal,5144045093,4679604922,4877602012,5333862344,6858952717,8031344240,8707015064,9358710763,11284603481,13386346543,12812994670
Singapore,85963561402,95922652586,91148432628,90582818234,93362870573,1.09E+11,1.24E+11,1.39E+11,1.69E+11,1.79E+11,1.94E+11
Solomon Islands,482214092.3,435101217.2,400464593,341663053.7,332736306.5,375109694.5,413909879.3,456735444.9,586218381,645796657.5,601299089.8
Sierra Leone,669384768.9,635874002.2,1079478388,1239004288,1371442566,1431208677,1627853086,1887429109,2157944721,2504381637,2454531383
El Salvador,12464700000,13134100000,13812700000,14306700000,15046700000,15798300000,17093800000,18550700000,20104900000,21431000000,20661000000
San Marino,853373879.7,773907642.4,815205233.1,879957209.9,1122981525,1317357835,1375416604,1469075398,1687653983,1899809580,
Somalia,,,,,,,,,,,
Serbia,17632705913,6082791506,11390468619,15102567925,19550781969,23649854234,25234408773,29221081587,38952093544,47760580366,40249479880
Sub-Saharan Africa (developing only),3.33E+11,3.42E+11,3.28E+11,3.49E+11,4.45E+11,5.52E+11,6.44E+11,7.49E+11,8.69E+11,9.89E+11,9.39E+11
South Sudan,,,,,,,,,,15264618786,11853474305
Sub-Saharan Africa (all income levels),3.34E+11,3.43E+11,3.29E+11,3.51E+11,4.48E+11,5.57E+11,6.52E+11,7.57E+11,8.79E+11,1.00E+12,9.49E+11
