thigmotperc,lean,locom,defec,groomfr,rear,groomdur,jump,thigmodperc,groombout,labels
18,26,7183,7,4,65,25.12,0,31.76945566,6.28,female
65,51,8664,6,6,63,18.24,0,51.0734072,3.04,female
92,114,8267,4,17,12,83.2,1,87.38357324,4.894117647,female
82,113,9911,2,7,16,51.92,0,77.54010695,7.417142857,female
34,56,5964,0,21,72,160.96,0,39.45338699,7.664761905,female
47,71,7391,0,17,46,38.24,0,42.45704235,2.249411765,female
90,146,7373,6,18,48,202.64,1,77.39047877,11.25777778,female
67,46,7616,3,19,45,239.2,0,51.50997899,12.58947368,female
45,21,4695,0,2,9,12.16,0,61.55484558,6.08,female
76,76,7832,2,9,11,79.04,0,71.10572012,8.782222222,female
69,188,15126,1,1,20,4.24,2,58.34986117,4.24,female
73,163,19780,4,9,13,31.04,3,62.18402427,3.448888889,female
54,85,13051,0,4,85,32.4,0,46.20335607,8.1,female
71,80,13833,0,11,11,19.2,0,59.46649317,1.745454546,female
67,63,10391,0,7,68,64,0,52.87267828,9.142857143,female
78,82,9099,1,10,33,100.4,0,65.18298714,10.04,female
68,87,10189,0,5,41,27.68,0,58.17057611,5.536,female
81,64,8043,9,6,32,31.6,0,70.54581624,5.266666667,female
60,68,11150,0,6,55,55.28,0,48.59192825,9.213333333,female
59,68,10430,0,11,43,41.12,0,45.87727709,3.738181818,female
59,28,6402,9,14,28,192.16,0,56.31052796,13.72571429,female
58,46,8899,6,24,61,145.6,0,54.12967749,6.066666667,female
67,97,10023,6,9,42,70.48,7,63.98283947,7.831111111,female
62,81,11852,0,12,108,99.28,5,45.53661829,8.273333333,female
60,85,10656,5,4,51,17.84,2,57.16966967,4.46,female
68,76,10315,2,3,30,8.72,0,59.11778963,2.906666667,female
64,140,13949,0,3,63,8.32,0,53.57373288,2.773333333,female
63,139,12850,5,23,75,51.68,3,48.20233463,2.246956522,female
84,113,9754,6,7,85,74.16,0,77.20935001,10.59428571,female
77,88,8642,2,8,51,60.72,0,68.32909049,7.59,female
66,166,11236,6,3,35,16,0,52.99038804,5.333333333,female
77,76,8634,1,8,13,49.04,0,73.70859393,6.13,female
78,58,8066,5,14,41,135.76,0,65.9434664,9.697142857,female
87,46,5533,3,10,21,150.88,0,85.92083861,15.088,female
86,112,12520,0,10,10,105.44,0,86.69329074,10.544,female
91,59,8303,0,26,9,244,0,88.08864266,9.384615385,female
79,125,9257,6,4,54,139.6,26,71.24338339,34.9,female
81,141,8966,2,10,29,151.12,3,74.57060005,15.112,female
64,98,10605,4,11,71,29.2,10,52.88071664,2.654545455,female
67,84,9355,4,10,63,144.8,5,57.75521112,14.48,female
51,58,11377,0,5,64,26.16,0,43.78131318,5.232,female
74,22,5816,0,15,60,226.32,0,58.42503439,15.088,female
77,78,13521,1,10,16,88.96,3,73.70756601,8.896,female
70,79,13290,5,12,12,34.72,0,71.54251317,2.893333333,female
51,61,11487,0,10,44,42.24,5,44.29354923,4.224,female
58,69,11618,0,3,75,18.16,4,56.79979342,6.053333333,female
86,38,5682,3,3,1,31.36,0,90.14431538,10.45333333,female
77,42,6208,6,8,14,96.88,0,77.09407217,12.11,female
73,28,5640,8,19,17,151.36,0,58.4929078,7.96631579,female
81,61,5360,13,12,31,102.72,0,71.62313433,8.56,female
89,51,6951,6,14,1,201.2,0,76.4206589,14.37142857,female
88,33,6068,7,6,2,218.96,0,79.10349374,36.49333333,female
73,96,10521,0,7,41,33.52,0,74.32753541,4.788571429,female
65,120,10880,3,10,71,21.12,1,61.73713235,2.112,female
33,55,13056,0,3,28,17.84,0,27.46629902,5.946666667,female
60,57,9770,6,6,29,61.52,0,55.97748209,10.25333333,female
67,82,8338,3,4,17,19.12,0,73.13504438,4.78,female
79,41,6149,6,5,7,78.96,0,75.26427061,15.792,female
58,100,12191,0,12,34,42.24,16,47.28898368,3.52,female
65,57,12953,0,5,32,24.56,51,56.7358913,4.912,female
70,92,10261,0,1,75,5.12,0,63.11275704,5.12,female
69,63,9744,1,3,25,12.08,0,66.99507389,4.026666667,female
66,103,16236,1,13,112,37.68,0,51.64449372,2.898461539,female
