,area,year,total,men,women,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009
85,Georgia,2008,13,13,13,2800024342,3057453461,3219487823,3395778661,3991374540,5125273877,6411147323,7761900179,10172260738,12799337250,10766836277
92,Guinea,2008,9,10,7,3461282190,2995360969,2833442750,2949637039,3446442219,3666349049,2937072009,2821346684,4134173271,4515824643,4609923720
102,Hungary,2008,15,15,16,48255011860,46385589534,52720966883,66389489264,83538373061,1.02E+11,1.10E+11,1.13E+11,1.36E+11,1.54E+11,1.27E+11
103,Iceland,2008,18,17,20,8742600398,8697298234,7922983043,8907207933,10969898924,13251434311,16286323127,16651492784,20428232684,16832079677,12115478892
105,Indonesia,2008,13,13,13,1.40E+11,1.65E+11,1.60E+11,1.96E+11,2.35E+11,2.57E+11,2.86E+11,3.65E+11,4.32E+11,5.10E+11,5.40E+11
109,Ireland,2008,18,18,18,96584799614,97331522052,1.05E+11,1.23E+11,1.59E+11,1.86E+11,2.03E+11,2.23E+11,2.60E+11,2.64E+11,2.25E+11
110,Israel,2008,15,15,16,1.11E+11,1.25E+11,1.23E+11,1.13E+11,1.19E+11,1.27E+11,1.34E+11,1.45E+11,1.67E+11,2.02E+11,1.95E+11
111,Italy,2008,16,16,17,1.21E+12,1.10E+12,1.12E+12,1.23E+12,1.51E+12,1.74E+12,1.79E+12,1.87E+12,2.13E+12,2.31E+12,2.11E+12
112,Jamaica,2008,14,13,14,8830909008,9008629729,9104515930,9718989517,9430236065,10173234921,11075778481,11903020644,12820055025,13676837630,12043372132
113,Japan,2008,15,15,15,4.43E+12,4.73E+12,4.16E+12,3.98E+12,4.30E+12,4.66E+12,4.57E+12,4.36E+12,4.36E+12,4.85E+12,5.04E+12
114,Jordan,2008,13,13,13,8147494329,8457923945,8972965061,9580161951,10193023726,11407566660,12582876895,15056937190,17110610000,21971835256,23820013059
117,Kiribati,2008,12,12,12,70596128.71,67512714.52,63101272.37,72259045.96,90148518.06,102220914.8,106147384.5,104668674.7,123005089.6,135044455.6,127125253.5
126,Latvia,2008,15,14,17,7288524473,7833068425,8313047744,9314784080,11186452601,13761569545,16041840426,19935046397,28765687042,33669367720,25875781250
133,Liechtenstein,2008,12,13,12,2664105901,2483890594,2491800559,2688617885,3070803431,3454374261,3658356378,3988775844,4602346923,4929414915,4826167676
134,Lithuania,2008,16,15,17,10971375000,11434200000,12159225000,14163949142,18608709857,22551543054,25962254181,30088510798,39103973051,47252926429,36846183172
146,Malta,2008,14,14,15,3907947937,3957418083,3917620728,4296164768,5119621569,5643525282,5980795756,6390123590,7513834700,8554293727,8099400961
149,Mauritius,2008,14,13,14,4291171396,4582562398,4536544699,4767303153,5609836354,6385691315,6283796155,6731536244,7792063567,9641077098,8834661043
150,Mexico,2008,14,14,14,5.87E+11,6.92E+11,7.33E+11,7.50E+11,7.22E+11,7.75E+11,8.70E+11,9.66E+11,1.04E+12,1.10E+12,8.95E+11
161,Namibia,2008,12,12,12,3385555873,3908598123,3546795054,3361241961,4931293712,6606970843,7261301442,7978676470,8811608767,8829927125,8859203056
164,Netherlands,2008,17,17,17,4.11E+11,3.85E+11,4.01E+11,4.38E+11,5.38E+11,6.10E+11,6.38E+11,6.78E+11,7.83E+11,8.71E+11,7.96E+11
166,New Zealand,2008,19,19,20,58141345789,51981385896,53273715302,65999637538,87418267497,1.03E+11,1.14E+11,1.10E+11,1.35E+11,1.31E+11,1.19E+11
172,Norway,2008,17,17,18,1.59E+11,1.68E+11,1.71E+11,1.92E+11,2.25E+11,2.60E+11,3.04E+11,3.40E+11,3.93E+11,4.54E+11,3.79E+11
175,Oman,2008,11,11,11,15710148340,19867880550,19949284975,20049414986,21542262852,24673602280,30905071771,36803641389,41901170689,60566970579,46866060196
180,Panama,2008,13,13,14,11456300000,11620500000,11807500000,12272400000,12933200000,14179300000,15464700000,17137000000,19793700000,23001600000,24162900000
184,Philippines,2008,12,12,12,82995145601,81026294681,76261998623,81357657790,83908205720,91371236939,1.03E+11,1.22E+11,1.49E+11,1.74E+11,1.68E+11
185,Poland,2008,15,15,16,1.68E+11,1.71E+11,1.90E+11,1.98E+11,2.17E+11,2.53E+11,3.04E+11,3.42E+11,4.25E+11,5.29E+11,4.31E+11
186,Portugal,2008,16,16,16,1.26E+11,1.17E+11,1.20E+11,1.32E+11,1.62E+11,1.85E+11,1.92E+11,2.02E+11,2.32E+11,2.52E+11,2.34E+11
191,Romania,2008,15,14,15,35592337083,37052636395,40180746113,45824529874,59507345650,75489440362,98913392472,1.23E+11,1.69E+11,2.04E+11,1.64E+11
192,Russian Federation,2008,14,14,15,1.96E+11,2.60E+11,3.07E+11,3.45E+11,4.30E+11,5.91E+11,7.64E+11,9.90E+11,1.30E+12,1.66E+12,1.22E+12
198,Saudi Arabia,2008,14,14,13,1.61E+11,1.88E+11,1.83E+11,1.89E+11,2.15E+11,2.59E+11,3.28E+11,3.77E+11,4.16E+11,5.20E+11,4.29E+11
199,Senegal,2008,7,8,7,5144045093,4679604922,4877602012,5333862344,6858952717,8031344240,8707015064,9358710763,11284603481,13386346543,12812994670
201,Seychelles,2008,13,13,14,622975776.4,614877971.2,618433501,698083345,703096502.6,839319935.2,919103262,1016419769,1033635773,967211974.9,847424851.5
206,Slovenia,2008,17,16,18,22309684226,19979467790,20498926981,23136352386,29152072068,33837749815,35717733757,38945146500,47306799054,54606018255,49056152691
211,Spain,2008,16,16,17,6.18E+11,5.80E+11,6.09E+11,6.86E+11,8.84E+11,1.04E+12,1.13E+12,1.24E+12,1.44E+12,1.59E+12,1.45E+12
221,Sweden,2008,16,15,16,2.59E+11,2.47E+11,2.27E+11,2.51E+11,3.15E+11,3.62E+11,3.71E+11,3.99E+11,4.63E+11,4.86E+11,4.06E+11
222,Switzerland,2008,15,16,15,2.74E+11,2.56E+11,2.63E+11,2.87E+11,3.35E+11,3.74E+11,3.85E+11,4.05E+11,4.51E+11,5.24E+11,5.09E+11
225,Tajikistan,2008,11,12,10,1086567368,860550294.3,1080774006,1221113795,1554125543,2076148710,2312319579,2830236054,3719497371,5161336170,4979481980
232,Tunisia,2008,15,14,15,22943685719,21473261837,22066031834,23141616605,27453084983,31183059012,32282960678,34377235162,38848711944,44736953169,43607568688
233,Turkey,2008,12,12,11,2.50E+11,2.67E+11,1.96E+11,2.33E+11,3.03E+11,3.92E+11,4.83E+11,5.31E+11,6.47E+11,7.30E+11,6.15E+11
237,Uganda,2008,10,11,10,5998563258,6193246632,5840503703,6178563467,6336696289,7940362663,9013834490,9977209199,11916019463,14440417641,15803514643
238,Ukraine,2008,15,14,15,31580639053,31261527363,38009344577,42392896031,50132953288,64883060726,86142018069,1.08E+11,1.43E+11,1.80E+11,1.17E+11
246,Uruguay,2008,16,14,17,23983945191,22823255806,20898788420,13606494599,12045627411,13686333822,17362872710,19579479147,23410536955,30366148248,30229404321
9,Armenia,2009,12,12,13,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900436759,6384457744,9206277479,11662017845,8648015305
10,Aruba,2009,13,13,13,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961
20,Belize,2009,12,12,13,732607993.8,831750000,871840755.4,932676403.2,990350000,1057850000,1114200000,1217450000,1290550000,1369600000,1338500000
26,Bosnia and Herzegovina,2009,14,13,14,4685729743,5505984456,5748990555,6651226179,8370020196,10022840635,10948051122,12400102623,15280615815,18543289395,17082889410
30,Brunei Darussalam,2009,14,14,14,4600000000,6001153318,5601090584,5843329102,6557333067,7872333197,9531402830,11470703002,12247627895,14393099069,10732435034
32,Burkina Faso,2009,6,7,6,3014665572,2610959139,2812845486,3205592273,4205691122,4838551014,5462709055,5844669738,6755823933,8350710389,8348156389
35,Cameroon,2009,10,11,9,10486456218,9287367569,9633109257,10879778328,13621809574,15775356737,16587921221,17953103009,20431779034,23735537026,22165009363
37,Cape Verde,2009,12,11,12,675281384.1,604760392.8,624141912.6,679340246.3,891375823.9,1022562771,1090445839,1236876851,1513934038,1789332788,1711816593
40,Central African Republic,2009,7,8,5,999477458.7,914500332,931833293.8,991387865,1139754772,1270080228,1350300947,1473721521,1698125680,1985370255,1981728179
41,Chad,2009,7,9,5,1534673504,1385058212,1709347777,1987622269,2736666451,4414929142,6646663021,7422102520,8638711757,10351933632,9253484290
46,Colombia,2009,14,13,14,86186156584,99886577576,98203544965,97933392356,94684582573,1.17E+11,1.47E+11,1.63E+11,2.08E+11,2.44E+11,2.34E+11
55,Cuba,2009,18,16,19,28365300000,30565200000,31683300000,33590400000,35901500000,38202800000,42644200000,52742100000,58603500000,60806200000,62078610000
